"Reference","Value","Footprint","QUANTITY","Description"
"E1","BRIDGE/SHIELD","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","1","Solder pad to GND for bridge earth or cavity shielding, 1.0mm hole"
"H1-H4","M2.5","MountingHole:MountingHole_2.7mm_M2.5","4","M2.5 clearance hole, unplated"
"J1","TO BREAKOUT J3","Connector_PinHeader_2.00mm:PinHeader_2x05_P2.00mm_Vertical","1","2x5 2.00mm to Internal Breakout J3 (NU MULTI INPUT 1); pins 1-2 not fitted"
"P1","CH1 PWR","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","1","Capsule 1, low E (6th) -- power, to capsule H2: 1=V+, 2=GND, 3=GND"
"P2","CH2 PWR","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","1","Capsule 2, A (5th) -- power, to capsule H2: 1=V+, 2=GND, 3=GND"
"P3","CH3 PWR","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","1","Capsule 3, D (4th) -- power, to capsule H2: 1=V+, 2=GND, 3=GND"
"P4","CH4 PWR","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","1","Capsule 4, G (3rd) -- power, to capsule H2: 1=V+, 2=GND, 3=GND"
"P5","CH5 PWR","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","1","Capsule 5, B (2nd) -- power, to capsule H2: 1=V+, 2=GND, 3=GND"
"P6","CH6 PWR","Connector_PinHeader_2.00mm:PinHeader_1x03_P2.00mm_Vertical","1","Capsule 6, high E (1st) -- power, to capsule H2: 1=V+, 2=GND, 3=GND"
"S1","CH1 SIG","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1","Capsule 1, low E (6th) -- signal, to capsule H1: 1=OUT, 2=GND"
"S2","CH2 SIG","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1","Capsule 2, A (5th) -- signal, to capsule H1: 1=OUT, 2=GND"
"S3","CH3 SIG","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1","Capsule 3, D (4th) -- signal, to capsule H1: 1=OUT, 2=GND"
"S4","CH4 SIG","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1","Capsule 4, G (3rd) -- signal, to capsule H1: 1=OUT, 2=GND"
"S5","CH5 SIG","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1","Capsule 5, B (2nd) -- signal, to capsule H1: 1=OUT, 2=GND"
"S6","CH6 SIG","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1","Capsule 6, high E (1st) -- signal, to capsule H1: 1=OUT, 2=GND"
