Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",20.000000,-15.250000,0.000000,top
"F1","50mA","Fuse_0805_2012Metric",26.000000,-15.250000,180.000000,top
"J10","JACK 10","PinHeader_2x05_P2.00mm_Vertical",8.000000,-12.500000,90.000000,top
"J11","JACK 11","PinHeader_2x05_P2.00mm_Vertical",20.000000,-12.500000,90.000000,top
"P1","CH1 PWR","PinHeader_1x03_P2.00mm_Vertical",5.000000,-18.000000,0.000000,top
"P2","CH2 PWR","PinHeader_1x03_P2.00mm_Vertical",10.000000,-18.000000,0.000000,top
"P3","CH3 PWR","PinHeader_1x03_P2.00mm_Vertical",15.000000,-18.000000,0.000000,top
"P4","CH4 PWR","PinHeader_1x03_P2.00mm_Vertical",20.000000,-18.000000,0.000000,top
"P5","CH5 PWR","PinHeader_1x03_P2.00mm_Vertical",25.000000,-18.000000,0.000000,top
"P6","CH6 PWR","PinHeader_1x03_P2.00mm_Vertical",30.000000,-18.000000,0.000000,top
"S1","CH1 SIG","PinHeader_1x02_P2.00mm_Vertical",5.000000,-2.500000,0.000000,top
"S2","CH2 SIG","PinHeader_1x02_P2.00mm_Vertical",10.000000,-2.500000,0.000000,top
"S3","CH3 SIG","PinHeader_1x02_P2.00mm_Vertical",15.000000,-2.500000,0.000000,top
"S4","CH4 SIG","PinHeader_1x02_P2.00mm_Vertical",20.000000,-2.500000,0.000000,top
"S5","CH5 SIG","PinHeader_1x02_P2.00mm_Vertical",25.000000,-2.500000,0.000000,top
"S6","CH6 SIG","PinHeader_1x02_P2.00mm_Vertical",30.000000,-2.500000,0.000000,top
