Ref,Val,Package,PosX,PosY,Rot,Side
"J1","TO BREAKOUT J3","PinHeader_2x05_P2.00mm_Vertical",43.000000,-13.000000,0.000000,top
"P1","CH1 PWR","PinHeader_1x03_P2.00mm_Vertical",5.500000,-27.500000,90.000000,top
"P2","CH2 PWR","PinHeader_1x03_P2.00mm_Vertical",12.500000,-27.500000,90.000000,top
"P3","CH3 PWR","PinHeader_1x03_P2.00mm_Vertical",19.500000,-27.500000,90.000000,top
"P4","CH4 PWR","PinHeader_1x03_P2.00mm_Vertical",26.500000,-27.500000,90.000000,top
"P5","CH5 PWR","PinHeader_1x03_P2.00mm_Vertical",33.500000,-27.500000,90.000000,top
"P6","CH6 PWR","PinHeader_1x03_P2.00mm_Vertical",40.500000,-27.500000,90.000000,top
"S1","CH1 SIG","PinHeader_1x02_P2.00mm_Vertical",6.500000,-7.500000,90.000000,top
"S2","CH2 SIG","PinHeader_1x02_P2.00mm_Vertical",13.500000,-7.500000,90.000000,top
"S3","CH3 SIG","PinHeader_1x02_P2.00mm_Vertical",20.500000,-7.500000,90.000000,top
"S4","CH4 SIG","PinHeader_1x02_P2.00mm_Vertical",27.500000,-7.500000,90.000000,top
"S5","CH5 SIG","PinHeader_1x02_P2.00mm_Vertical",34.500000,-7.500000,90.000000,top
"S6","CH6 SIG","PinHeader_1x02_P2.00mm_Vertical",41.500000,-7.500000,90.000000,top
